,synratio,morphratio,orig.uncomp,orig.comp
german19,0.914752957550452,-1.05184411969381,7210,2874
german2,0.910259917920657,-1.0281805745554,8730,3655
german20,0.923849082727587,-1.0404984423676,7046,2889
german3,0.920822942643391,-1.02182044887781,7448,3208
german4,0.910457734714333,-1.01436685599733,6872,2993
german5,0.905682145947505,-1.0213441015287,8094,3467
german6,0.914383561643836,-1.00560398505604,7393,3212
german7,0.916407599309154,-1.03316062176166,6950,2895
german8,0.927851458885942,-1.03050397877984,9088,3770
german9,0.917552427463373,-1.0313128411376,8298,3481
hungarian1,0.924792013311148,-1.00865224625624,6475,3005
hungarian10,0.907171314741036,-1.0003984063745,5303,2510
hungarian11,0.923047906450396,-1.02036967182195,5766,2651
hungarian12,0.913201453371013,-1.02422285022204,5362,2477
hungarian13,0.907407407407407,-1.02520576131687,4330,1944
hungarian14,0.925358851674641,-1.01674641148325,4665,2090
hungarian15,0.926221335992024,-1.00598205383848,4283,2006
hungarian16,0.913686806411837,-1.01274147143444,5182,2433
hungarian17,0.917253521126761,-1,4753,2272
hungarian18,0.90304396843292,-1.01052236001503,5869,2661
hungarian19,0.925245621529261,-1.00042716787698,4982,2341
hungarian2,0.928622412562455,-1,5872,2802
hungarian20,0.921923474663909,-1.00723888314374,4120,1934
hungarian3,0.924528301886792,-1.00150943396226,5543,2650
hungarian4,0.919577579203899,-0.9821283509342,5044,2462
hungarian5,0.911899313501144,-1.0091533180778,5538,2622
hungarian6,0.918586179507546,-0.991660047656871,5144,2518
hungarian7,0.906846762925012,-1.00139729855612,4486,2147
hungarian8,0.917151162790698,-0.984980620155039,4089,2064
hungarian9,0.905508798775822,-0.996174445294568,5541,2614
italian1,0.922238027501185,-1.024893314367,10055,4218
italian10,0.922465208747515,-1.01756129887343,6967,3018
italian11,0.912887828162291,-1.02505966587112,5852,2514
italian12,0.922845691382766,-1.0375751503006,4780,1996
italian13,0.929643041903777,-1.03724780134506,4520,1933
italian14,0.916178623718887,-1.01171303074671,6189,2732
italian15,0.923978819969743,-1.0124810892587,6006,2644
italian16,0.903803131991051,-1.0341962288271,7358,3129
italian17,0.925619834710744,-1.02783819051762,5456,2299
italian18,0.91962821213778,-1.01640240568617,4132,1829
italian19,0.932121212121212,-1.04787878787879,3896,1650
italian2,0.925460122699386,-1.00950920245399,7440,3260
italian20,0.92512184315463,-1.02481169694284,5156,2257
italian3,0.913203753351206,-1.00469168900804,6628,2984
italian4,0.906749902458057,-1.01365587202497,5637,2563
italian5,0.918880114860014,-1.00251256281407,6193,2786
italian6,0.92017987633502,-1.00899381675098,3876,1779
italian7,0.921100917431193,-1.01345565749235,7404,3270
italian8,0.92741935483871,-1.00073313782991,6042,2728
italian9,0.920655737704918,-1.02786885245902,7083,3050
romanian1,0.90885860306644,-0.996024985803521,7932,3522
romanian10,0.907219862789938,-1.00882064684744,6928,3061
romanian11,0.91606080634501,-1.00727032385988,6966,3026
romanian12,0.915134370579915,-1.01980198019802,4824,2121
romanian13,0.931602596105841,-1.00948577134299,4527,2003
romanian14,0.930308699719364,-1.03835360149673,4994,2138
romanian15,0.92145238977399,-0.995924416450537,5969,2699
romanian16,0.915811965811966,-0.996153846153846,5048,2340
romanian17,0.917047451669596,-1.00527240773286,6338,2845
romanian18,0.909839618552232,-1,5083,2307
romanian19,0.91418408181414,-1.03379279679858,5338,2249
romanian2,0.916079977471135,-1.00732188116024,8158,3551
romanian20,0.913915857605178,-1.0336569579288,3643,1545
romanian3,0.910056657223796,-0.984773371104816,6080,2824
romanian4,0.922866894197952,-1.00819112627986,6502,2930
